source,target,interaction,id,gpc,basic,hinku,alas,secap,hiv,scope,indices,description,Unit
passiivienergia,energialuokka,alajoukko,,,,,,,,,,Olisiko tämä hyödyllisempää ilmoittaa jatkuvana energiatehokkuusmuuttujana?,
khk-päästö,vaikutus,alajoukko,,,,,,,,,,,
tautitaakka,vaikutus,alajoukko,,,,,,,,,,,
kustannus,vaikutus,alajoukko,,,,,,,,,,"Kustannuksissa olennaista on myös, kehen se kohdistuu: asiakkaaseen, kansalaiseen, yhteiskuntaan, yritykseen",
elonkirjo,vaikutus,alajoukko,,,,,,,,,,,
tasa-arvo,vaikutus,alajoukko,,,,,,,,,,,
maine,vaikutus,alajoukko,,,,,,,,,,,
,,,,,,,,,,,,,
SYKE-laskenta,,,,,,,,,,,,,
Kaukolämpö – päästökauppa,päästösektori kulutusperusteinen,alajoukko,syke1,"I.1.2, I.2.2",Päästökauppa,TRUE,TRUE,,,,"rakennus, scope",Kunnassa tapahtuva tuotanto + ostot - myynnit ,
Kaukolämpö – ei-päästökauppa,päästösektori kulutusperusteinen,alajoukko,syke2,"I.1.2, I.2.2",Taakanjako,TRUE,TRUE,,,,"rakennus, scope",Kunnassa tapahtuva tuotanto + ostot - myynnit ,
Öljylämmitys,päästösektori alueperusteinen,alajoukko,syke3,"I.1.1, I.2.1",Taakanjako,TRUE,TRUE,,,,"rakennus, scope",,
Sähkölämmitys,päästösektori kulutusperusteinen,alajoukko,syke4,"I.1.2, I.2.2",Päästökauppa,TRUE,TRUE,,,,"rakennus, scope","Suomalainen keskiarvosähkö, kuukausittainen päästökerroin ",
Maalämpö,päästösektori kulutusperusteinen,alajoukko,syke5,"I.1.2, I.2.2",Taakanjako,TRUE,TRUE,,,,"rakennus, scope","Suomalainen keskiarvosähkö, kuukausittainen päästökerroin ",
Muu erillislämmitys,päästösektori alueperusteinen,alajoukko,syke6,"I.1.1, I.2.1",Taakanjako,TRUE,TRUE,,,,"rakennus, scope","Puu, kaasu, turve, hiili, raskas polttoöljy ",
Kulutussähkö,päästösektori kulutusperusteinen,alajoukko,syke7,"I.1.2, I.2.2",Päästökauppa,TRUE,TRUE,,,,"rakennus, scope",Suomalainen keskiarvosähkö ,
Teollisuuden sähkönkulutus,päästösektori kulutusperusteinen,alajoukko,syke8,I.3.2,Päästökauppa,FALSE,TRUE,,,,rakennus,Suomalainen keskiarvosähkö ,
Henkilöautot,päästösektori kulutusperusteinen,alajoukko,syke9,II.1.1,Taakanjako,TRUE,TRUE,,,,,Kuntaan rekisteröityjen ajoneuvojen vuosisuorite kuntarajoista riippumatta ,
Moottoripyörät ja mopot,päästösektori kulutusperusteinen,alajoukko,syke10,II.1.1,Taakanjako,TRUE,TRUE,,,,,Kuntaan rekisteröityjen ajoneuvojen vuosisuorite kuntarajoista riippumatta ,
Muu tieliikenne – läpiajo,päästösektori alueperusteinen,alajoukko,syke11,II.1.3,Taakanjako,FALSE,TRUE,,,,ajoneuvo,Muihin kuntiin rekisteröityjen ajoneuvojen suorite tarkasteltavalla alueella ,
Muu tieliikenne – ei läpiajoa,päästösektori alueperusteinen,alajoukko,syke12,II.1.1,Taakanjako,TRUE,TRUE,,,,ajoneuvo,”Oma tieliikenne” = alueperusteiset päästöt - läpiajo ,
Raideliikenne,päästösektori alueperusteinen,alajoukko,syke13,II.2.2,Päästökauppa,TRUE,TRUE,,,,ajoneuvo,Päästöjä syntyy osittain myös kunnan rajojen ulkopuolella ,
Vesiliikenne,päästösektori alueperusteinen,alajoukko,syke14,II.3.1,Taakanjako,TRUE,TRUE,,,,,Päästöjä syntyy osittain myös kunnan rajojen ulkopuolella ,
Teollisuus – päästökauppa,päästösektori alueperusteinen,alajoukko,syke15,I.3.1,Päästökauppa,FALSE,TRUE,,,,,Ei sisällä sähköntuotantoa eikä myytyä kaukolämpöä ,
